word	phones
mazes	m eɪ z ɪ z
shells	ʃ ɛ l z
twist	t w ɪ s t
spoiled	s p ɔɪ l d
jingle	dʒ ɪ ŋ ɡ ə l
razor	ɹ eɪ z ə ɹ
shave	ʃ eɪ v
shaving	ʃ eɪ v ɪ ŋ
blob	b l ɑ b
raindrops	ɹ eɪ n d ɹ ɑ p s
guy's	ɡ aɪ z
threes	θ ɹ iː z
whacked	w æ k t
click	k l ɪ k
kittens	k ɪ t ə n z
wiggly	w ɪ ɡ ə l iː
snowflakes	s n oʊ f l eɪ k s
twos	t uː z
pier	p ɪ ɹ
dawns	d ɔ n z
dollars	d ɑ l ə ɹ z
twins	t w ɪ n z
cannon	k æ n ə n
bob's	b ɑ b z
video	v ɪ d iː oʊ
fiesta	f iː ɛ s t ə
carlo	k ɑ ɹ l oʊ
skates	s k eɪ t s
snails	s n eɪ l z
vine	v aɪ n
pulls	p ʊ l z
smarter	s m ɑ ɹ t ə ɹ
poke	p oʊ k
hurts	h ɜː t s
freeze	f ɹ iː z
prepare	p ɹ iː p ɛ ɹ
electric	ɪ l ɛ k t ɹ ɪ k
coupon	k uː p ɔ n
matches	m æ tʃ ə z
slightest	s l aɪ t ə s t
additional	ə d ɪ ʃ ə n ə l
coordinated	k oʊ ɔ ɹ d ə n eɪ t ɪ d
sunflower	s ʌ n f l aʊ ə ɹ
shall	ʃ æ l
toystore	t ɔɪ s t ɔ ɹ
chocolates	tʃ ɔ k l ə t s
restaurant	ɹ ɛ s t ə ɹ ɑ n t
machine's	m ə ʃ iː n z
entire	ɪ n t aɪ ə ɹ
ninth	n aɪ n θ
panic	p æ n ɪ k
hearing	h iː ɹ ɪ ŋ
calendar	k æ l ə n d ə ɹ
disappearing	d ɪ s ə p ɪ ɹ ɪ ŋ
easier	iː z iː ə ɹ
amigo	ə m iː ɡ oʊ
sings	s ɪ ŋ z
shadow	ʃ æ d oʊ
sofa	s oʊ f ə
sense	s ɛ n s
why'd	w aɪ d
mustn't	m ʌ s ə n t
purpose	p ɜː p ə s
snazzy	s n æ z iː
hopping	h ɑ p ɪ ŋ
memory	m ɛ m ə ɹ iː
panicking	p æ n ɪ k ɪ ŋ
sprinkles	s p ɹ ɪ ŋ k ə l z
waving	w eɪ v ɪ ŋ
winning	w ɪ n ɪ ŋ
paint	p eɪ n t
imagination	ɪ m æ dʒ ə n eɪ ʃ ə n
marigolds	m ɛ ɹ ə ɡ oʊ l d z
park	p ɑ ɹ k
bake	b eɪ k
lip	l ɪ p
broad	b ɹ ɔ d
stella's	s t ɛ l ə z
stella	s t ɛ l ə
costume	k ɑ s t uː m
elastic	ɪ l æ s t ɪ k
brought	b ɹ ɔ t
sew	s oʊ
yank	j æ ŋ k
lee	l iː
sonja	s oʊ n j ɑ
pilot's	p aɪ l ə t s
smatter	s m æ t ə ɹ
friday	f ɹ aɪ d iː
pilot	p aɪ l ə t
itself	ɪ t s ɛ l f
whoosh	w uː ʃ
older	oʊ l d ə ɹ
liked	l aɪ k t
lobster	l ɑ b s t ə ɹ
stroller	s t ɹ oʊ l ə ɹ
pins	p ɪ n z
safety	s eɪ f t iː
lead	l ɛ d
paths	p æ ð z
follow	f ɑ l oʊ
mole	m oʊ l
should've	ʃ ʊ d ə v
talkin'	t ɔ k ɪ n
periwinkle	p ɛ ɹ ɪ w ɪ ŋ k l
staples	s t eɪ p ə l z
splashing	s p l æ ʃ ɪ ŋ
instinct	ɪ n s t ɪ ŋ k t
palm	p ɑ m
son	s ʌ n
velociraptor	v ə l ɔ s ə ɹ æ p t ə ɹ
blondes	b l ɑ n d z
cowboy	k aʊ b ɔɪ
kangaroo	k æ ŋ ɡ ə ɹ uː
grain	ɡ ɹ eɪ n
hippo	h ɪ p oʊ
dying	d aɪ ɪ ŋ
sail	s eɪ l
garbage	ɡ ɑ ɹ b ɪ dʒ
sailboat	s eɪ l b oʊ t
humpback	h ʌ m p b æ k
kangaroos	k æ ŋ ɡ ə ɹ uː z
elvis	ɛ l v ɪ s
twinkle	t w ɪ ŋ k ə l
cheeses	tʃ iː z ɪ z
third	θ ɜː d
apologize	ə p ɑ l ə dʒ aɪ z
reads	ɹ iː d z
hours	aʊ ə ɹ z
baseballs	b eɪ s b ɔ l z
softballs	s ɔ f t b ɔ l z
firefighter	f aɪ ɹ f aɪ t ə ɹ
lineup	l aɪ n ʌ p
wore	w ɔ ɹ
joke	dʒ oʊ k
crooked	k ɹ ʊ k ə d
tahoe	t æ h oʊ
chevy	ʃ ɛ v iː
van	v æ n
tells	t ɛ l z
jaguar	dʒ æ ɡ w ɑ ɹ
builder	b ɪ l d ə ɹ
elise	ə l iː s
lotus	l oʊ t ə s
volley	v ɑ l iː
styling	s t aɪ l ɪ ŋ
explorer	ɪ k s p l ɔ ɹ ə ɹ
ford	f ɔ ɹ d
riding	ɹ aɪ d ɪ ŋ
trade	t ɹ eɪ d
yak	j æ k
claire	k l ɛ ɹ
row	ɹ oʊ
tyrannosaurus	t ɪ ɹ æ n ə s ɔ ɹ ə s
super	s uː p ə ɹ
talks	t ɔ k s
crawly	k ɹ ɔ l iː
style	s t aɪ l
perfect	p ə ɹ f ɛ k t
scratch	s k ɹ æ tʃ
itchy	ɪ tʃ iː
target	t ɑ ɹ ɡ ə t
debbie	d ɛ b iː
magna	m æ ɡ n ə
sell	s ɛ l
walmart	w ɔ l m ɑ ɹ t
organized	ɔ ɹ ɡ ə n aɪ z d
stopped	s t ɑ p t
lightbulb	l aɪ t b ʌ l b
paintbrush	p eɪ n t b ɹ ʌ ʃ
farewell	f ɛ ɹ w ɛ l
bong	b ɑ ŋ
bing	b ɪ ŋ
usual	j uː ʒ ə w ə l
coupe	k uː p
swoop	s w uː p
thee	ð iː
shy	ʃ aɪ
elite	ɪ l iː t
aside	ə s aɪ d
swish	s w ɪ ʃ
thunderbird	θ ʌ n d ə ɹ b ɜː d
doorbell	d ɔ ɹ b ɛ l
ringing	ɹ ɪ ŋ ɪ ŋ
alligators	æ l ə ɡ eɪ t ə ɹ z
hippos	h ɪ p oʊ z
fifty	f ɪ f t iː
stubborn	s t ʌ b ə ɹ n
mister	m ɪ s t ə ɹ
swirl	s w ɜː l
hyundai	h j ʌ n d eɪ
popper	p ɑ p ə ɹ
killing	k ɪ l ɪ ŋ
balances	b æ l ə n s ə z
weight	w eɪ t
pelican	p ɛ l ə k ə n
background	b æ k ɡ ɹ aʊ n d
inflated	ɪ n f l eɪ t ɪ d
hour	aʊ ə ɹ
po	p oʊ
drew	d ɹ uː
add	æ d
hairdo	h ɛ ɹ d uː
whom	h uː m
cruiser	k ɹ uː z ə ɹ
panel	p æ n ə l
chrysler	k ɹ aɪ s l ə ɹ
obviously	ɑ b v iː ə s l iː
grant	ɡ ɹ æ n t
reflecting	ɹ ɪ f l ɛ k t ɪ ŋ
search	s ɜː tʃ
sparkle	s p ɑ ɹ k ə l
popsicle	p ɑ p s ɪ k ə l
fins	f ɪ n z
expert	ɛ k s p ə ɹ t
sharks	ʃ ɑ ɹ k s
trace	t ɹ eɪ s
bitsy	b ɪ t s iː
itsy	ɪ t s iː
movie	m uː v iː
parts	p ɑ ɹ t s
lo	l oʊ
cheetah	tʃ iː t ə
direct	d ə ɹ ɛ k t
branch	b ɹ æ n tʃ
prehistoric	p ɹ iː h ɪ s t ɔ ɹ ɪ k
wondered	w ʌ n d ə ɹ d
steps	s t ɛ p s
giggle	ɡ ɪ ɡ ə l
alight	ə l aɪ t
wings	w ɪ ŋ z
brother	b ɹ ʌ ð ə ɹ
concerned	k ə n s ɜː n d
math	m æ θ
splitting	s p l ɪ t ɪ ŋ
lions	l aɪ ə n z
dad's	d æ d z
spots	s p ɑ t s
equals	iː k w ə l z
cheated	tʃ iː t ə d
dries	d ɹ aɪ z
copy	k ɑ p iː
million	m ɪ l j ə n
yummy	j ʌ m iː
torture	t ɔ ɹ tʃ ə ɹ
matched	m æ tʃ t
sets	s ɛ t s
bend	b ɛ n d
foots	f ʊ t s
splashes	s p l æ ʃ ɪ z
signs	s aɪ n z
father	f ɑ ð ə ɹ
it'd	ɪ t ə d
desk	d ɛ s k
rail	ɹ eɪ l
slowly	s l oʊ l iː
mummy	m ʌ m iː
drawings	d ɹ ɔ ɪ ŋ z
gorilla	ɡ ə ɹ ɪ l ə
tab	t æ b
planted	p l æ n t ɪ d
grew	ɡ ɹ uː
snowball	s n oʊ b ɔ l
ss	ɛ s ɛ s
beetle	b iː t ə l
rescue	ɹ ɛ s k j uː
pudding	p ʊ d ɪ ŋ
stake	s t eɪ k
holds	h oʊ l d z
bamboo	b æ m b uː
citation	s aɪ t eɪ ʃ ə n
cessna	s ɛ s n ə
survival	s ə ɹ v aɪ v ə l
gosh	ɡ ɑ ʃ
paid	p eɪ d
cents	s ɛ n t s
donuts	d oʊ n ʌ t s
pan	p æ n
french	f ɹ ɛ n tʃ
landing	l æ n d ɪ ŋ
con	k ɑ n
martin	m ɑ ɹ t ə n
lockheed	l ɑ k h iː d
blackbird	b l æ k b ə ɹ d
teacher's	t iː tʃ ə ɹ z
machinery	m ə ʃ iː n ə ɹ iː
aviation	eɪ v iː eɪ ʃ ə n
peck	p ɛ k
bushel	b ʊ ʃ ə l
fastest	f æ s t ə s t
cloud	k l aʊ d
fighter	f aɪ t ə ɹ
teachers'	t iː tʃ ə ɹ z
pencil	p ɛ n s ə l
cheryl	ʃ ɛ ɹ ə l
quickie	k w ɪ k iː
return	ɹ ɪ t ɜː n
bravo	b ɹ ɑ v oʊ
backpack	b æ k p æ k
blockbuster	b l ɑ k b ʌ s t ə ɹ
sunshine	s ʌ n ʃ aɪ n
quarter	k w ɔ ɹ t ə ɹ
cost	k ɑ s t
george	dʒ ɔ ɹ dʒ
abe	eɪ b
waves	w eɪ v z
alexander	æ l ə ɡ z æ n d ə ɹ
andrew	æ n d ɹ uː
anyways	ɛ n iː w eɪ z
tuesdays	t uː z d eɪ z
ben	b ɛ n
bills	b ɪ l z
tuesday	t uː z d iː
misses	m ɪ s ə z
applesauce	æ p ə l s ɔ s
powder	p aʊ d ə ɹ
wednesdays	w ɛ n z d eɪ z
grill	ɡ ɹ ɪ l
dominoes	d ɑ m ə n oʊ z
hell	h ɛ l
foreman	f ɔ ɹ m ə n
purse	p ɜː s
peas	p iː z
available	ə v eɪ l ə b ə l
adler's	æ d l ə ɹ z
rent	ɹ ɛ n t
suit	s uː t
bathing	b eɪ ð ɪ ŋ
sandals	s æ n d ə l z
hopefully	h oʊ p f ə l iː
den	d ɛ n
lump	l ʌ m p
mother's	m ʌ ð ə ɹ z
raisins	ɹ eɪ z ə n z
sillies	s ɪ l ɪ z
scary	s k ɛ ɹ iː
styles	s t aɪ l z
imagine	ɪ m æ dʒ ə n
points	p ɔɪ n t s
combing	k oʊ m ɪ ŋ
shines	ʃ aɪ n z
creeps	k ɹ iː p s
sonoma	s ə n oʊ m ə
williams	w ɪ l j ə m z
lumpy	l ʌ m p iː
goldfish	ɡ oʊ l d f ɪ ʃ
clear	k l ɪ ɹ
wilson	w ɪ l s ə n
luke	l uː k
college	k ɑ l ɪ dʒ
ferrell	f ɛ ɹ ɪ l
nurse	n ɜː s
toad	t oʊ d
zoomed	z uː m d
closing	k l oʊ z ɪ ŋ
bead	b iː d
hairs	h ɛ ɹ z
meatballs	m iː t b ɔ l z
frida	f ɹ iː d ə
broth	b ɹ ɔ θ
necklace	n ɛ k l ə s
catastrophe	k ə t æ s t ɹ ə f iː
language	l æ ŋ ɡ w ə dʒ
slices	s l aɪ s ə z
opens	oʊ p ə n z
fee	f iː
mic	m ɪ k
italian	ɪ t æ l j ə n
smuck	s m ʌ k
muck	m ʌ k
dogs	d ɑ ɡ z
each	iː tʃ
borrow	b ɑ ɹ oʊ
win	w ɪ n
oranges	ɔ ɹ ə n dʒ ə z
costs	k ɑ s t s
squid	s k w ɪ d
vampire	v æ m p aɪ ɹ
eyebrows	aɪ b ɹ aʊ z
museum	m j uː z iː ə m
children's	tʃ ɪ l d ɹ ə n z
mentioned	m ɛ n ʃ ə n d
freckles	f ɹ ɛ k ə l z
hears	h iː ɹ z
dots	d ɑ t s
vegas	v eɪ ɡ ə s
las	l ɑ s
changes	tʃ eɪ n dʒ ə z
haha	h ɑ h ɑ
meant	m ɛ n t
swirls	s w ɜː l z
tap	t æ p
fe	f eɪ
mexico	m ɛ k s ə k oʊ
pirates	p aɪ ɹ ə t s
zoom	z uː m
leapfrog	l iː p f ɹ ɔ ɡ
bones	b oʊ n z
spend	s p ɛ n d
cartridges	k ɑ ɹ t ɹ ə dʒ ə z
sharpener	ʃ ɑ p n ə ə ɹ
girlfriend	ɡ ɜː l f ɹ ɛ n d
girlfriend's	ɡ ɜː l f ɹ ɛ n d z
pressure	p ɹ ɛ ʃ ə ɹ
promised	p ɹ ɑ m ə s t
bridget	b ɹ ɪ dʒ ə t
drove	d ɹ oʊ v
catalogs	k æ t ə l ɑ ɡ z
drill	d ɹ ɪ l
amazed	ə m eɪ z d
bagel	b eɪ ɡ ə l
cords	k ɔ ɹ d z
cleaned	k l iː n d
defrost	d ɪ f ɹ ɔ s t
lonely	l oʊ n l iː
toaster	t oʊ s t ə ɹ
molars	m oʊ l ə z
skinny	s k ɪ n iː
spikes	s p aɪ k s
cheerios	tʃ ɪ ɹ iː oʊ s
coke	k oʊ k
glad	ɡ l æ d
picks	p ɪ k s
haft	h æ f t
candles	k æ n d ə l z
melon	m ɛ l ə n
choices	tʃ ɔɪ s ə z
moments	m oʊ m ə n t s
precious	p ɹ ɛ ʃ ə s
pickle	p ɪ k ə l
forever	f ə ɹ ɛ v ə ɹ
starts	s t ɑ ɹ t s
burned	b ɜː n d
cheating	tʃ iː t ɪ ŋ
carol	k æ ɹ ə l
stew	s t uː
balm	b ɑ m
simple	s ɪ m p ə l
order	ɔ ɹ d ə ɹ
placing	p l eɪ s ɪ ŋ
xylophone	z aɪ l ə f oʊ n
awful	ɑ f ə l
suggest	s ə dʒ ɛ s t
rainbow	ɹ eɪ n b oʊ
trunk	t ɹ ʌ ŋ k
gaudy	ɡ ɔ d iː
bump	b ʌ m p
tusks	t ʌ s k s
foo	f uː
keeping	k iː p ɪ ŋ
doll	d ɑ l
marching	m ɑ ɹ tʃ ɪ ŋ
behave	b ɪ h eɪ v
decision	d ɪ s ɪ ʒ ə n
louder	l aʊ d ə ɹ
arabesque	æ ɹ ə b ɛ s k
subtraction	s ə b t ɹ æ k ʃ ə n
chopper	tʃ ɑ p ə ɹ
clementine	k l ɛ m ə n t aɪ n
shattered	ʃ æ t ə ɹ d
ballet	b æ l eɪ
reminded	ɹ iː m aɪ n d ɪ d
rainbows	ɹ eɪ n b oʊ z
beets	b iː t s
polish	p ɑ l ɪ ʃ
ankle	æ ŋ k ə l
everyday	ɛ v ɹ iː d eɪ
pattern	p æ t ə ɹ n
zebras	z iː b ɹ ə z
budget	b ʌ dʒ ɪ t
snacks	s n æ k s
lopsided	l ɑ p s aɪ d ɪ d
fours	f ɔ ɹ z
hang	h æ ŋ
penney's	p ɛ n iː z
stakes	s t eɪ k s
march	m ɑ ɹ tʃ
carried	k æ ɹ iː d
neighbor's	n eɪ b ə ɹ z
group	ɡ ɹ uː p
finished	f ɪ n ɪ ʃ t
fort	f ɔ ɹ t
wheelchair	w iː l tʃ ɛ ɹ
henley	h ɛ n l iː
photographer	f ə t ɑ ɡ ɹ ə f ə ɹ
bomber	b ɑ m ə ɹ
bond	b ɑ n d
difficult	d ɪ f ə k ə l t
sun's	s ʌ n z
cloudy	k l aʊ d iː
properly	p ɹ ɑ p ə ɹ l iː
curl	k ɜː l
lightbulbs	l aɪ t b ʌ l b z
covered	k ʌ v ə ɹ d
studying	s t ʌ d iː ɪ ŋ
tighten	t aɪ t ə n
changing	tʃ eɪ n dʒ ɪ ŋ
wrinkled	ɹ ɪ ŋ k ə l d
elephant's	ɛ l ə f ə n t s
scrubs	s k ɹ ʌ b z
rubs	ɹ ʌ b z
kidney	k ɪ d n iː
radio	ɹ eɪ d iː oʊ
fetches	f ɛ tʃ ɪ z
carols	k ɛ ɹ ə l z
ornaments	ɔ ɹ n ə m ə n t s
beats	b iː t s
hairy	h ɛ ɹ iː
playpen	p l eɪ p ɛ n
brighter	b ɹ aɪ t ə ɹ
umbrellas	ə m b ɹ ɛ l ə z
glitter	ɡ l ɪ t ə ɹ
bone	b oʊ n
spent	s p ɛ n t
watered	w ɔ t ə ɹ d
grape	ɡ ɹ eɪ p
seals	s iː l z
sleek	s l iː k
eyed	aɪ d
cubs	k ʌ b z
worse	w ɜː s
cynthia	s ɪ n θ iː ə
sleepily	s l iː p ə l iː
camels	k æ m ə l z
leap	l iː p
prowl	p ɹ aʊ l
cheetahs	tʃ iː t ə z
spotted	s p ɑ t ɪ d
pinto	p ɪ n t oʊ
northern	n ɔ ɹ ð ə ɹ n
walker	w ɔ k ə ɹ
hotel	h oʊ t ɛ l
breaks	b ɹ eɪ k s
overhead	oʊ v ə ɹ h ɛ d
hover	h ʌ v ə ɹ
hummingbirds	h ʌ m ɪ ŋ b ɜː d z
parades	p ə ɹ eɪ d z
peacock	p iː k ɑ k
growl	ɡ ɹ aʊ l
tigers	t aɪ ɡ ə ɹ z
fed	f ɛ d
beds	b ɛ d z
straw	s t ɹ ɔ
rhinos	ɹ aɪ n oʊ z
horned	h ɔ ɹ n d
maya	m aɪ ə
ending	ɛ n d ɪ ŋ
swings	s w ɪ ŋ z
chimpanzees	tʃ ɪ m p æ n z iː z
ladybugs	l eɪ d iː b ʌ ɡ z
blinds	b l aɪ n d z
cub	k ʌ b
kinds	k aɪ n d z
fox	f ɑ k s
packs	p æ k s
wig	w ɪ ɡ
shiny	ʃ aɪ n iː
trips	t ɹ ɪ p s
kalamazoo	k æ l ə m ə z uː
fountain	f aʊ n t ə n
motorcycle	m oʊ t ə ɹ s aɪ k ə l
pails	p eɪ l z
apricot	eɪ p ɹ ə k ɑ t
york	j ɔ ɹ k
salmon	s æ m ə n
wallet	w ɔ l ə t
necklaces	n ɛ k l ə s ɪ z
pale	p eɪ l
passenger	p æ s ə n dʒ ə ɹ
piranhas	p ɪ ɹ ɑ n j ə z
giant	dʒ aɪ ə n t
bellow	b ɛ l oʊ
grandma	ɡ ɹ æ n d m ɑ
knees	n iː z
tram	t ɹ æ m
macdonald	m ə k d ɑ n ə l d
slipping	s l ɪ p ɪ ŋ
calcutta	k æ l k ʌ t ə
kid	k ɪ d
godmother	ɡ ɑ d m ʌ ð ə ɹ
monorail	m ɑ n ə ɹ eɪ l
scribbling	s k ɹ ɪ b ə l ɪ ŋ
chubby	tʃ ʌ b iː
bravely	b ɹ eɪ v l iː
bundle	b ʌ n d ə l
mittens	m ɪ t ə n z
untied	ə n t aɪ d
plow	p l aʊ
harvester	h ɑ ɹ v ə s t ə ɹ
expensive	ɪ k s p ɛ n s ɪ v
repaired	ɹ ɪ p ɛ ɹ d
collapses	k ə l æ p s ɪ z
depot	d iː p oʊ
julie	dʒ uː l iː
salad	s æ l ə d
shelf	ʃ ɛ l f
direction	d ə ɹ ɛ k ʃ ə n
places	p l eɪ s ə z
siesta	s iː ɛ s t ə
sword	s ɔ ɹ d
feather	f ɛ ð ə ɹ
instructions	ɪ n s t ɹ ʌ k ʃ ə n z
taken	t eɪ k ə n
snail	s n eɪ l
skateboard	s k eɪ t b ɔ ɹ d
scream	s k ɹ iː m
bouncing	b aʊ n s ɪ ŋ
price	p ɹ aɪ s
handed	h æ n d ə d
henry's	h ɛ n ɹ iː z
seashells	s iː ʃ ɛ l z
latest	l eɪ t ə s t
register	ɹ ɛ dʒ ɪ s t ə ɹ
woman	w ʊ m ə n
penney	p ɛ n iː
young	j ʌ ŋ
dead	d ɛ d
lakes	l eɪ k s
pound	p aʊ n d
ling	l ɪ ŋ
aisle	aɪ l
orders	ɔ ɹ d ə ɹ z
mirrors	m ɪ ɹ ə ɹ z
view	v j uː
adults	ə d ʌ l t s
friendly's	f ɹ ɛ n d l iː z
menu	m ɛ n j uː
certain	s ɜː t ə n
decorations	d ɛ k ə ɹ eɪ ʃ ə n z
headlight	h ɛ d l aɪ t
often	ɔ f ə n
pipe	p aɪ p
exhaust	ɪ ɡ z ɔ s t
waitresses	w eɪ t ɹ ə s ɪ z
souvenir	s uː v ə n ɪ ɹ
windshield	w ɪ n d ʃ iː l d
seek	s iː k
rings	ɹ ɪ ŋ z
noises	n ɔɪ z ɪ z
sang	s æ ŋ
quality	k w ɑ l ə t iː
material	m ə t ɪ ɹ iː ə l
raspberry	ɹ æ z b ɛ ɹ iː
blackberry	b l æ k b ɛ ɹ iː
obstacle	ɑ b s t ə k ə l
logo	l oʊ ɡ oʊ
murray's	m ɜː iː z
furniture's	f ɜː n ɪ tʃ ə ɹ z
furniture	f ɜː n ɪ tʃ ə ɹ
tag	t æ ɡ
pencils	p ɛ n s ə l z
wiggling	w ɪ ɡ ə l ɪ ŋ
bounce	b aʊ n s
weeks	w iː k s
adjustable	ə dʒ ʌ s t ə b ə l
radiator	ɹ eɪ d iː eɪ t ə ɹ
murray	m ɜː iː
grasshoppers	ɡ ɹ æ s h ɑ p ə ɹ z
spiel	s p iː l
sir	s ɜː
alaska	ə l æ s k ə
astronaut	æ s t ɹ ə n ɑ t
groceries	ɡ ɹ oʊ s ə ɹ iː z
china	tʃ aɪ n ə
watermelons	w ɔ t ə ɹ m ɛ l ə n z
lemons	l ɛ m ə n z
bald	b ɔ l d
eyeglass	aɪ ɡ l æ s
gigantic	dʒ aɪ ɡ æ n t ɪ k
crawling	k ɹ ɔ l ɪ ŋ
clips	k l ɪ p s
favorites	f eɪ v ə ɹ ɪ t s
floors	f l ɔ ɹ z
church	tʃ ɜː tʃ
crumb	k ɹ ʌ m
visit	v ɪ z ɪ t
god's	ɡ ɑ d z
library's	l aɪ b ɹ ɛ ɹ iː z
praying	p ɹ eɪ ɪ ŋ
pray	p ɹ eɪ
prayer	p ɹ ɛ ɹ
gee	dʒ iː
bible	b aɪ b ə l
stories	s t ɔ ɹ iː z
speaks	s p iː k s
tank	t æ ŋ k
awfully	ɑ f l iː
given	ɡ ɪ v ə n
hymns	h ɪ m z
jeff's	dʒ ɛ f s
tue	t uː
wed	w ɛ d
anthony's	æ n θ ə n iː z
greg's	ɡ ɹ ɛ ɡ z
lined	l aɪ n d
itching	ɪ tʃ ɪ ŋ
laid	l eɪ d
shaped	ʃ eɪ p t
objects	ɑ b dʒ ɛ k t s
sunday	s ʌ n d eɪ
practicing	p ɹ æ k t ə s ɪ ŋ
rosebush	ɹ oʊ z b ʊ ʃ
airport	ɛ ɹ p ɔ ɹ t
roger	ɹ ɑ dʒ ə ɹ
pretends	p ɹ iː t ɛ n d z
salami	s ə l ɑ m iː
member	m ɛ m b ə ɹ
invited	ɪ n v aɪ t ə d
greenhouse	ɡ ɹ iː n h aʊ s
punished	p ʌ n ɪ ʃ t
trim	t ɹ ɪ m
markers	m ɑ ɹ k ə ɹ z
stomach	s t ʌ m ə k
paper's	p eɪ p ə ɹ z
instrument	ɪ n s t ɹ ə m ə n t
felt	f ɛ l t
cocoon	k ə k uː n
pushed	p ʊ ʃ t
nibbled	n ɪ b ə l d
seashell	s iː ʃ ɛ l
underwater	ʌ n d ə ɹ w ɔ t ə ɹ
thanksgiving	θ æ ŋ k s ɡ ɪ v ɪ ŋ
blessed	b l ɛ s t
gathered	ɡ æ ð ə ɹ d
shared	ʃ ɛ ɹ d
indians	ɪ n d iː ə n z
skillful	s k ɪ l f ə l
toiled	t ɔɪ l d
labored	l eɪ b ə ɹ d
steadfastly	s t ɛ d f æ s t l iː
farmed	f ɑ ɹ m d
pilgrims	p ɪ l ɡ ɹ ə m z
cleaner	k l iː n ə ɹ
oy	ɔɪ
reusable	ɹ iː uː z ə b ə l
towers	t aʊ ə ɹ z
learned	l ɜː n d
dab	d æ b
placemat	p l eɪ s m æ t
roses	ɹ oʊ z ɪ z
rows	ɹ oʊ z
snows	s n oʊ z
harsh	h ɑ ɹ ʃ
stood	s t ʊ d
sheltered	ʃ ɛ l t ə ɹ d
coins	k ɔɪ n z
unknown	ə n n oʊ n
chart	tʃ ɑ ɹ t
stone	s t oʊ n
marked	m ɑ ɹ k t
harbor	h ɑ ɹ b ə ɹ
swinging	s w ɪ ŋ ɪ ŋ
indian	ɪ n d iː ə n
hail	h eɪ l
seas	s iː z
weathered	w ɛ ð ə ɹ d
mayflower	m eɪ f l aʊ ə ɹ
docked	d ɑ k t
starting	s t ɑ ɹ t ɪ ŋ
foe	f oʊ
began	b ɪ ɡ æ n
brave	b ɹ eɪ v
notes	n oʊ t s
musical	m j uː z ɪ k ə l
represent	ɹ ɛ p ɹ ɪ z ɛ n t
known	n oʊ n
dice	d aɪ s
cancel	k æ n s ə l
wood	w ʊ d
parking	p ɑ ɹ k ɪ ŋ
special	s p ɛ ʃ ə l
pi	p aɪ
endless	ɛ n d l ə s
release	ɹ iː l iː s
sanding	s æ n d ɪ ŋ
ahoy	ə h ɔɪ
sawing	s ɔ ɪ ŋ
dock	d ɑ k
tied	t aɪ d
straightened	s t ɹ eɪ t ə n d
cracked	k ɹ æ k t
tula	t uː l ə
spills	s p ɪ l z
rhythm	ɹ ɪ ð ə m
banjo	b æ n dʒ oʊ
hack	h æ k
thousand	θ aʊ z ə n d
shouting	ʃ aʊ t ɪ ŋ
pollen	p ɑ l ə n
mailbox	m eɪ l b ɑ k s
flippers	f l ɪ p ə ɹ z
toucan	t uː k ə n
flamingos	f l ə m ɪ ŋ ɡ oʊ z
valentines	v æ l ə n t aɪ n z
oil	ɔɪ l
onions	ʌ n j ə n z
connect	k ə n ɛ k t
bens	b ɛ n z
tower's	t aʊ ə ɹ z
garlic	ɡ ɑ ɹ l ɪ k
twisty	t w ɪ s t iː
kale	k eɪ l
silverado	s ɪ l v ə ɹ ɑ d oʊ
mushrooms	m ʌ ʃ ɹ uː m z
prints	p ɹ ɪ n t s
chinese	tʃ aɪ n iː z
littles	l ɪ t ə l z
fry	f ɹ aɪ
drops	d ɹ ɑ p s
sugars	ʃ ʊ ɡ ə ɹ z
especially	ə s p ɛ ʃ l iː
adorable	ə d ɔ ɹ ə b ə l
select	s ə l ɛ k t
montezuma	m ɑ n t ɪ z uː m ə
convertible	k ə n v ɜː t ə b ə l
pump	p ʌ m p
blew	b l uː
hidden	h ɪ d ə n
gallon	ɡ æ l ə n
gasoline	ɡ æ s ə l iː n
pounds	p aʊ n d z
extinguisher	ɪ k s t ɪ ŋ ɡ w ɪ ʃ ə ɹ
collect	k ə l ɛ k t
worried	w ɜː iː d
cap	k æ p
racquet	ɹ æ k ɪ t
dinner	d ɪ n ə ɹ
meal	m iː l
wiggle	w ɪ ɡ ə l
lentils	l ɛ n t ə l z
diddle	d ɪ d ə l
browns	b ɹ aʊ n z
fellow	f ɛ l oʊ
jolly	dʒ ɑ l iː
meatball	m iː t b ɔ l
el	ɛ l
rolled	ɹ oʊ l d
sixty	s ɪ k s t iː
nack	n æ k
nick	n ɪ k
imaginations	ɪ m æ dʒ ə n eɪ ʃ ə n z
fragile	f ɹ æ dʒ ə l
snoring	s n ɔ ɹ ɪ ŋ
shortcake	ʃ ɔ ɹ t k eɪ k
yum	j ʌ m
dog's	d ɔ ɡ z
planting	p l æ n t ɪ ŋ
disappoint	d ɪ s ə p ɔɪ n t
sandal	s æ n d ə l
blending	b l ɛ n d ɪ ŋ
boot	b uː t
rover	ɹ oʊ v ə ɹ
edge	ɛ dʒ
demolished	d ɪ m ɑ l ɪ ʃ t
slip	s l ɪ p
sprocket	s p ɹ ɑ k ə t
provided	p ɹ ə v aɪ d ɪ d
creamer	k ɹ iː m ə ɹ
whipped	w ɪ p t
snout	s n aʊ t
porsche	p ɔ ɹ ʃ ə
trip	t ɹ ɪ p
produce	p ɹ ə d uː s
